Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Dominician Republic,Ecuador,Vietnam,Taiwan,Finland,France,Germany,Greece,Guatemala,Honduras,Hong Kong,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Sweden,Uruguay,Switzerland,Malaysia,Turkey,Mexico,Netherlands,New Zeland,Spain,Norway,Thailand,Paraguay,Peru,United Kingdom,Poland,Portugal,United States,Singapore,Malta
25,3,3,4,27,2,3,4,34,29,30,3,3,50,29,2,3,3,3,4,3,32,35,3,4,3,2,3,3,5,2,3,27,5,3,2,23,3,3,19,3,2,31,29,3,3,5,4,3,5
31,6,5,7,45,3,6,7,33,44,42,6,5,29,50,5,6,5,4,5,6,39,39,6,7,6,3,6,6,6,3,5,34,8,6,4,35,4,6,23,6,3,31,45,5,6,8,6,6,7
4,14,11,12,5,3,15,14,3,6,5,13,10,2,5,50,14,9,4,7,12,4,5,18,13,11,16,13,10,7,5,10,5,11,21,5,7,9,14,3,12,10,2,4,11,8,9,11,18,9
4,16,13,15,6,3,17,16,3,6,7,17,12,3,6,14,50,11,5,8,14,5,6,24,17,13,9,16,13,9,5,11,5,14,20,7,9,11,16,3,14,10,2,4,14,11,12,14,23,9
3,18,18,20,5,4,18,19,3,5,6,20,19,3,5,9,11,50,8,15,17,4,5,16,19,18,5,20,14,9,4,19,4,17,18,7,8,17,18,3,26,4,2,3,20,12,13,17,18,14
3,7,7,19,4,2,7,7,3,3,5,7,7,3,4,4,5,8,50,8,7,4,4,6,8,7,3,7,6,7,1,7,3,17,6,4,4,7,7,2,8,2,2,3,7,6,7,6,6,8
4,15,37,16,5,3,13,13,4,5,6,15,15,4,5,7,8,15,8,50,13,5,5,10,16,13,4,15,11,11,3,11,4,27,12,7,7,14,14,3,14,3,3,4,14,9,11,11,12,13
4,21,17,21,6,4,26,22,3,6,7,21,20,3,6,12,14,17,7,13,50,5,6,19,25,22,7,22,17,11,4,15,5,21,18,9,9,16,21,4,20,7,2,4,20,14,16,20,18,14
32,5,4,6,41,3,5,6,36,40,43,5,4,32,39,4,5,4,4,5,5,50,43,5,6,5,3,5,5,6,2,4,34,7,5,3,34,4,5,22,5,3,36,39,4,5,7,5,5,6
31,6,5,7,40,3,6,7,38,40,41,6,5,35,39,5,6,5,4,5,6,43,50,6,7,6,3,6,6,6,3,5,34,8,6,4,32,4,6,21,6,3,35,38,5,6,8,6,6,7
4,28,17,22,6,4,27,30,3,6,7,26,20,3,6,18,24,16,6,10,19,5,6,50,27,24,14,27,18,11,5,17,5,20,29,8,9,17,28,4,22,10,2,4,23,14,17,25,35,14
5,30,20,28,7,4,32,30,4,7,8,30,25,4,7,13,17,19,8,16,25,6,7,27,50,28,9,32,20,13,4,17,6,27,24,9,11,20,27,5,25,7,3,5,28,15,18,25,25,19
4,29,17,25,6,4,29,32,3,6,7,26,23,3,6,11,13,18,7,13,22,5,6,24,28,50,9,30,17,11,4,17,5,24,22,8,10,20,29,4,27,6,2,4,28,15,19,32,23,21
3,11,6,8,3,2,10,11,2,3,3,9,6,2,3,16,9,5,3,4,7,3,3,14,9,9,50,10,8,5,3,6,3,8,22,3,4,7,11,3,8,10,2,3,8,5,6,8,17,8
4,34,20,29,6,4,28,32,3,6,7,29,24,3,6,13,16,20,7,15,22,5,6,27,32,30,10,50,19,11,4,17,5,23,26,8,10,22,32,4,28,7,2,4,36,15,17,27,28,22
4,18,14,17,6,3,18,17,3,6,7,19,15,3,6,10,13,14,6,11,17,5,6,18,20,17,8,19,49,10,4,13,5,16,18,8,9,15,18,3,16,6,2,4,17,12,14,16,18,11
5,11,12,12,6,3,11,12,5,6,7,11,12,5,6,7,9,9,7,11,11,6,6,11,13,11,5,11,10,50,3,11,5,14,11,7,8,11,11,5,11,4,4,5,11,9,12,11,11,12
2,4,4,4,3,2,5,4,2,4,3,4,4,2,3,5,5,4,1,3,4,2,3,5,4,4,3,4,4,3,50,4,3,4,5,3,4,3,4,2,4,3,2,2,4,4,4,4,5,4
3,16,16,16,5,4,16,19,3,5,6,17,19,3,5,10,11,19,7,11,15,4,5,17,17,17,6,17,13,11,4,50,4,17,18,7,7,15,16,4,25,4,2,3,17,11,13,16,18,12
41,5,4,6,36,3,5,6,34,34,36,5,4,27,34,5,5,4,3,4,5,34,34,5,6,5,3,5,5,5,3,4,50,7,5,3,28,3,5,25,5,3,34,35,4,5,7,5,5,6
6,23,31,32,8,4,23,24,5,8,9,23,23,5,8,11,14,17,17,27,21,7,8,20,27,24,8,23,16,14,4,17,7,50,20,9,12,19,22,6,22,6,4,6,23,14,18,21,20,17
4,29,19,23,6,3,23,28,3,6,7,25,18,3,6,21,20,18,6,12,18,5,6,29,24,22,22,26,18,11,5,18,5,20,50,8,9,19,28,3,25,12,2,4,23,12,15,21,40,16
2,8,8,8,4,1,9,8,1,4,5,8,8,2,4,5,7,7,4,7,9,3,4,8,9,8,3,8,8,7,3,7,3,9,8,50,5,6,8,1,8,2,1,2,7,8,8,7,8,7
27,10,9,11,36,3,9,10,26,35,37,10,9,23,35,7,9,8,4,7,9,34,32,9,11,10,4,10,9,8,4,7,28,12,9,5,50,8,10,20,9,5,24,31,9,9,11,9,9,8
3,20,17,23,4,3,18,19,3,4,5,21,20,3,4,9,11,17,7,14,16,4,4,17,20,20,7,22,15,11,3,15,3,19,19,6,8,49,20,3,20,5,2,3,21,12,13,16,20,16
4,40,20,28,6,3,26,33,3,6,7,27,21,3,6,14,16,18,7,14,21,5,6,28,27,29,11,32,18,11,4,16,5,22,28,8,10,20,50,3,23,7,2,4,28,14,17,27,29,20
24,3,3,5,23,3,4,5,24,22,23,4,4,19,23,3,3,3,2,3,4,22,21,4,5,4,3,4,3,5,2,4,25,6,3,1,20,3,3,50,4,3,24,23,4,4,6,5,3,4
4,24,19,25,6,4,23,27,3,6,7,25,23,3,6,12,14,26,8,14,20,5,6,22,25,27,8,28,16,11,4,25,5,22,25,8,9,20,23,4,50,6,2,4,25,14,15,22,24,18
3,7,5,6,3,2,8,7,2,3,3,7,5,2,3,10,10,4,2,3,7,3,3,10,7,6,10,7,6,4,3,4,3,6,12,2,5,5,7,3,6,50,2,3,5,5,6,5,11,3
30,2,2,3,33,2,2,3,39,32,33,2,2,31,31,2,2,2,2,3,2,36,35,2,3,2,2,2,2,4,2,2,34,4,2,1,24,2,2,24,2,2,50,31,2,2,4,3,2,4
33,4,3,5,44,3,4,5,34,43,41,4,3,29,45,4,4,3,3,4,4,39,38,4,5,4,3,4,4,5,2,3,35,6,4,2,31,3,4,23,4,3,31,50,3,4,6,4,4,5
3,29,20,27,5,4,26,26,3,5,6,25,24,3,5,11,14,20,7,14,20,4,5,23,28,28,8,36,17,11,4,17,4,23,23,7,9,21,28,4,25,5,2,3,50,14,15,25,24,19
4,14,12,15,6,4,15,14,3,6,7,15,14,3,6,8,11,12,6,9,14,5,6,14,15,15,5,15,12,9,4,11,5,14,12,8,9,12,14,4,14,5,2,4,14,50,14,13,13,10
6,16,13,17,8,8,18,20,5,8,9,16,15,5,8,9,12,13,7,11,16,7,8,17,18,19,6,17,14,12,4,13,7,18,15,8,11,13,17,6,15,6,4,6,15,14,50,20,15,14
4,26,17,22,6,4,28,39,4,6,7,22,20,4,6,11,14,17,6,11,20,5,6,25,25,32,8,27,16,11,4,16,5,21,21,7,9,16,27,5,22,5,3,4,25,13,20,50,23,19
4,30,19,23,6,3,24,30,3,6,7,26,19,3,6,18,23,18,6,12,18,5,6,35,25,23,17,28,18,11,5,18,5,20,40,8,9,20,29,3,24,11,2,4,24,13,15,23,50,17
5,21,12,19,7,3,17,18,5,7,8,15,17,5,7,9,9,14,8,13,14,6,7,14,19,21,8,22,11,12,4,12,6,17,16,7,8,16,20,4,18,3,4,5,19,10,14,19,17,50
